proyecto,id
rotondalaser,/projects/2017/10/21/Rotonda Laser KuzeFest2017
flatcity,/projects/2015/10/27/New York City is flat
redimensional,/projects/2015/10/27/redimensional
blackmetalizer,/projects/2017/01/20/Blackmetalizer
Defective aparatus 2,/projects/2015/01/01/Aparato Defectuoso Laser [WIP] [fAiL]
Live Visuals,/projects/2015/03/01/Visuales Farmacos
Titulo,/projects/2007/03/01/VideoWorks [2005 - 2007]
Music,/music                                                                                                                                                      
